penalty,rank,params,cv_mean_test_score,cv_std_test_score,cv_mean_train_score,cv_std_train_score,mean_fit_time,std_fit_time,split0_test_score,split1_test_score,split2_test_score
no_penalty,1,{},0.36336052368269806,0.0019697959060965106,0,0,1150.8939452171326,0,0.36174445294567714,0.362203519510329,0.36613359859208816
l1_lasso,1,{'clf__C': 10},0.36325850303615775,0.001877190681688363,0.4206176152858818,0.006911537197926225,2109.531667947769,5.685262095484217,0.36174445294567714,0.36212700841622036,0.36590404774657587
l1_lasso,2,{'clf__C': 1},0.3631819821847235,0.0016779790056952975,0.4200565231964373,0.006640605431151449,2106.253691673279,3.286651742360453,0.3616679418515685,0.3623565416985463,0.3655214630040554
l1_lasso,3,{'clf__C': 0.1},0.34581346424698256,0.0017512345612832633,0.38705391298724434,0.005532340639462474,1870.7903046607971,7.33216280416817,0.34789594491201226,0.3436113236419281,0.34593312418700745
l2_ridge,1,{'clf__C': 10},0.3633860293321994,0.002000835321295013,0.42060486294901606,0.006928095282125348,1060.0791320006053,1.5887354693544653,0.36182096403978575,0.36212700841622036,0.36621011554059224
l2_ridge,2,{'clf__C': 1},0.3633095162866257,0.002000832566892521,0.4206176152858818,0.006930217570193743,1056.4543052514393,2.112094591069852,0.36174445294567714,0.3620504973221117,0.36613359859208816
l2_ridge,3,{'clf__C': 0.1},0.36325850108469265,0.0018208699461622808,0.42057935925097983,0.00691798897079115,1063.079753081004,6.044619271376034,0.36182096403978575,0.36212700841622036,0.3658275307980718
elasticnet,1,"{'clf__C': 1, 'clf__l1_ratio': 0.5}",0.3634370347768067,0.001913143918514662,0.4206176152858818,0.006837732413758716,2137.739810228348,2.230730179523159,0.3618974751338944,0.36228003060443764,0.36613359859208816
elasticnet,2,"{'clf__C': 10, 'clf__l1_ratio': 0.5}",0.36336052368269806,0.0019648365716437867,0.4206048634368637,0.006915791836898773,2254.712375164032,231.6492038414273,0.36182096403978575,0.36212700841622036,0.36613359859208816
elasticnet,3,"{'clf__C': 0.1, 'clf__l1_ratio': 0.5}",0.3581576795159133,0.003389637450972634,0.40772514565398166,0.008617335728817172,2000.6055054664612,12.084175919168317,0.357459831675593,0.35439938791124714,0.36261381896089984
